,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 September 25, 2021 - 12:00 JSTWorld's Edge Apexers Syth Gaming Joel Mark","Round 1 Round 1 September 25, 2021 - 12:00 JSTWorld's Edge Apexers Syth Gaming Joel Mark","Round 2 Round 2 September 25, 2021 - 12:35 JSTWorld's Edge Lunatics Joel Mark NarraTive Vanshee","Round 2 Round 2 September 25, 2021 - 12:35 JSTWorld's Edge Lunatics Joel Mark NarraTive Vanshee","Round 3 Round 3 September 25, 2021 - 13:10 JSTWorld's Edge Joel Mark NarraTive Vanshee Atum","Round 3 Round 3 September 25, 2021 - 13:10 JSTWorld's Edge Joel Mark NarraTive Vanshee Atum","Round 4 Round 4 September 25, 2021 - 13:45 JSTWorld's Edge Joel Mark EGJP Gaming Apexers","Round 4 Round 4 September 25, 2021 - 13:45 JSTWorld's Edge Joel Mark EGJP Gaming Apexers"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,Joel Mark,76,37,44,29,1010,112,99,112,1313
1,2.0,Lunatics,59,45,77,112,1616,63,66,54,66
2,3.0,APXRS,37,112,88,92,11,102,0,37,55
3,4.0,NrTv.Vs,29,73,11,37,0,29,44,102,33
4,5.0,SYTH,26,29,55,63,0,54,44,111,0
5,6.0,Atum,25,54,11,45,11,37,44,73,0
6,7.0,KIBIINA-NO-OUCHI,17,63,0,45,0,73,0,45,11
7,8.0,EGJP,15,111,0,82,11,92,0,29,0
8,9.0,WOW.AXIS,12,102,0,102,0,45,11,92,0
9,10.0,aim,9,82,0,73,0,111,0,63,0
10,11.0,Next,8,92,0,111,0,82,11,82,0
