,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 September 12, 2021 - 12:00 PDTWorld's Edge BOT Sign Us Please Blood Sport","Round 1 Round 1 September 12, 2021 - 12:00 PDTWorld's Edge BOT Sign Us Please Blood Sport","Round 2 Round 2 September 12, 2021 - 12:30 PDTWorld's Edge 2B1C BAD BOYS Ice Force eSports","Round 2 Round 2 September 12, 2021 - 12:30 PDTWorld's Edge 2B1C BAD BOYS Ice Force eSports","Round 3 Round 3 September 12, 2021 - 13:00 PDTWorld's Edge BAD BOYS pub stars BOT","Round 3 Round 3 September 12, 2021 - 13:00 PDTWorld's Edge BAD BOYS pub stars BOT","Round 4 Round 4 September 12, 2021 - 13:30 PDTWorld's Edge Unsigned Talent BAD BOYS OrgSignUs","Round 4 Round 4 September 12, 2021 - 13:30 PDTWorld's Edge Unsigned Talent BAD BOYS OrgSignUs"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,BAD,59,5,5,2,6,1,12,2,2
1,2.0,2B1C,57,7,9,1,15,12,0,9,15
2,3.0,Unsigned Talent,52,6,6,4,5,5,11,1,6
3,4.0,WASH,34,8,3,12,6,4,8,6,6
4,5.0,BOT,33,1,5,16,0,3,5,11,3
5,6.0,SUP,27,2,8,7,1,17,3,10,1
6,7.0,Dark Matter,26,11,4,8,2,9,5,5,6
7,8.0,pub stars,25,15,3,5,7,2,1,17,0
8,9.0,Blood Sport,23,3,2,13,1,13,0,4,6
9,10.0,OrgSignUs,21,17,0,11,4,10,1,3,6
10,11.0,IFE,20,18,3,3,6,8,1,15,0
11,12.0,Yess,19,4,7,17,0,7,3,18,1
12,13.0,UORG,15,10,3,15,0,6,3,14,2
13,14.0,Wonderboys,12,14,0,6,1,15,3,8,1
14,15.0,LNT,7,19,0,9,1,16,0,7,1
15,16.0,Content Squad,5,12,1,10,1,18,0,16,0
16,17.0,MoJo,5,13,0,14,0,11,1,12,0
17,18.0,Raised By Wolves,3,9,0,19,0,19,0,13,0
18,19.0,Specter,1,20,0,20,0,20,0,19,1
19,20.0,Filii Martis,1,16,0,18,0,14,0,20,0
