,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 2, 2021 - 12:00 JSTWorld's Edge HIT e-sports United Crew γ BAKEMON","Round 1 Round 1 October 2, 2021 - 12:00 JSTWorld's Edge HIT e-sports United Crew γ BAKEMON","Round 2 Round 2 October 2, 2021 - 12:35 JSTWorld's Edge Syth Gaming Team Solid BAKEMON","Round 2 Round 2 October 2, 2021 - 12:35 JSTWorld's Edge Syth Gaming Team Solid BAKEMON","Round 3 Round 3 October 2, 2021 - 13:10 JSTWorld's Edge Schwarzerland Marine BAKEMON","Round 3 Round 3 October 2, 2021 - 13:10 JSTWorld's Edge Schwarzerland Marine BAKEMON","Round 4 Round 4 October 2, 2021 - 13:45 JSTWorld's Edge BAKEMON LFT BAKAGAKI Revolution in Esports Affairs Herja","Round 4 Round 4 October 2, 2021 - 13:45 JSTWorld's Edge BAKEMON LFT BAKAGAKI Revolution in Esports Affairs Herja"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,BKMN,75,37,1212,37,77,37,88,112,1515
1,2.0,REAH,39,73,33,45,1010,45,22,37,44
2,3.0,Marine,37,160,33,82,55,29,99,102,77
3,4.0,UC,37,29,88,102,55,82,44,82,55
4,5.0,LFT BKGK,37,45,66,73,88,131,33,29,22
5,6.0,HIT,33,112,1010,54,33,141,0,170,33
6,7.0,SYTH,29,82,11,112,66,151,66,141,0
7,8.0,ScL,26,63,33,111,11,112,55,121,0
8,9.0,Solid,22,102,0,29,33,54,22,111,11
9,10.0,YaBaL,21,121,44,160,22,73,77,92,22
10,11.0,QueenSquadRoyal,15,190,11,63,33,63,11,54,0
11,12.0,AVA,14,92,11,121,0,92,22,63,33
12,13.0,mrg_gundan,12,180,11,92,11,102,0,73,33
13,14.0,BEXT,11,54,0,151,11,121,44,190,0
14,15.0,Ark cha Puppy,10,151,0,190,0,170,0,45,44
15,16.0,KATENGECCH,5,170,0,180,0,180,0,131,44
16,17.0,Serpens,5,111,11,141,0,111,11,160,0
17,18.0,RUG,4,141,22,131,0,190,0,180,0
18,19.0,TeamRoyHage,3,131,0,170,0,160,0,151,11
