,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 9, 2021 - 12:00 JSTWorld's Edge FA Club FUG D4RK Esports United Crew γ","Round 1 Round 1 October 9, 2021 - 12:00 JSTWorld's Edge FA Club FUG D4RK Esports United Crew γ","Round 2 Round 2 October 9, 2021 - 12:35 JSTWorld's Edge Syth Gaming FA Club FUG Hybrid Eclipse","Round 2 Round 2 October 9, 2021 - 12:35 JSTWorld's Edge Syth Gaming FA Club FUG Hybrid Eclipse","Round 3 Round 3 October 9, 2021 - 13:10 JSTWorld's Edge Zenith Hybrid Eclipse LandMarkGondola","Round 3 Round 3 October 9, 2021 - 13:10 JSTWorld's Edge Zenith Hybrid Eclipse LandMarkGondola","Round 4 Round 4 October 9, 2021 - 13:45 JSTWorld's Edge United Crew γ Zenith NANB","Round 4 Round 4 October 9, 2021 - 13:45 JSTWorld's Edge United Crew γ Zenith NANB"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,UC,60,37,1313,141,33,92,44,112,1818
1,2.0,FA Club FUG,46,112,88,29,77,73,55,92,0
2,3.0,SYTH,45,54,66,112,77,54,22,73,77
3,4.0,Zenith,45,82,11,63,44,112,88,29,66
4,5.0,D4RK,27,29,88,170,0,170,0,54,66
5,6.0,HE,27,170,0,37,22,29,77,151,11
6,7.0,LandMarkGondola,25,121,0,131,33,37,1010,111,22
7,8.0,HIT,25,73,11,45,77,82,11,45,11
8,9.0,JDT,19,131,0,54,66,131,33,102,22
9,10.0,NAT,19,111,0,92,55,45,55,121,0
10,11.0,Atum,19,45,22,73,0,63,22,82,22
11,12.0,Farley,17,102,44,82,33,151,0,63,22
12,13.0,NANB,12,141,0,121,0,141,0,37,22
13,14.0,TeamRoyHage,10,92,11,151,0,102,33,131,0
14,15.0,Birthday Boy,7,63,44,160,0,160,0,170,0
15,16.0,Ark cha Puppy,6,160,0,102,22,121,11,160,0
16,17.0,WGT,4,151,0,111,0,111,0,141,0
17,18.0,Core Second,0,200,0,200,0,200,0,200,0
