,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 9, 2021 - 12:00 JSTWorld's Edge Ignition Gaming Radical Pop Gaming TEQWING","Round 1 Round 1 October 9, 2021 - 12:00 JSTWorld's Edge Ignition Gaming Radical Pop Gaming TEQWING","Round 2 Round 2 October 9, 2021 - 12:35 JSTWorld's Edge Radical Pop Gaming TSURUGI eSports EniGma","Round 2 Round 2 October 9, 2021 - 12:35 JSTWorld's Edge Radical Pop Gaming TSURUGI eSports EniGma","Round 3 Round 3 October 9, 2021 - 13:10 JSTWorld's Edge Root Union Gaming Team ENIGMA Marine","Round 3 Round 3 October 9, 2021 - 13:10 JSTWorld's Edge Root Union Gaming Team ENIGMA Marine","Round 4 Round 4 October 9, 2021 - 13:45 JSTWorld's Edge AwakeRapid:Zero Fujii Gaming TEQWING","Round 4 Round 4 October 9, 2021 - 13:45 JSTWorld's Edge AwakeRapid:Zero Fujii Gaming TEQWING"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,RPG,44,29,55,112,66,45,77,180,0
1,2.0,Ignition,40,112,99,141,33,63,33,73,66
2,3.0,ENG,40,63,33,37,77,29,44,54,33
3,4.0,RUG,34,54,55,54,66,112,22,111,0
4,5.0,TW,31,37,77,170,0,151,0,37,99
5,6.0,Fujii Gaming,30,73,55,92,33,111,0,29,77
6,7.0,EXiA KR,29,121,22,180,0,54,1414,92,66
7,8.0,ARZ,27,102,11,63,22,131,11,112,55
8,9.0,Marine,26,151,66,82,44,37,55,131,0
9,10.0,TSURUGI,24,180,11,29,55,121,33,82,33
10,11.0,RAVENS,23,45,33,131,11,160,0,45,88
11,12.0,CPGaming,15,92,33,121,33,92,11,141,22
12,13.0,TVN,15,131,11,73,33,82,55,170,0
13,14.0,Solid,14,170,0,45,22,141,33,63,0
14,15.0,KaisenDONDON,12,111,0,102,22,102,22,102,11
15,16.0,C-VA KAG,11,160,11,111,44,73,0,151,11
16,17.0,Creatives,4,82,0,160,0,180,0,121,11
17,18.0,A6G,3,141,0,151,11,170,0,160,0
